sample,plot_id,Sample_code,quality,quality_score,DNA,OM,ENR,M3_P,K ,Mg ,Ca,pH,Buffer_Index,Acidity_H_meq100g,CEC ,percentK,percentMg,percentCa,percentH,Moisture,Textural_Class,PercentSand,PercentSilt,PercentClay,x16S,Latitude,Longitude,Ownership_Type,Avg_TreeCondition,DomSpecies,Impervious,Human_Impact,TreeAgeClass_SizeDistribution,TreeEstablishment_Maintenance,Tree_Structure_Health,Invasive_Plants,Forestpests_diseases,Deer_browse,Impact,Species_of_pestimpact,poor_tree_care,Ash_trees,Ecosystem_management,Deer_browse_line
1,17,1-H-17,1high,69.5,21.3,3.2,112,4,50,43,117,5.2,6.87,0.6,1.7,0.75,21.1,34.4,35.3,1.7,sandy loam,60.8,22.5,16.5,7.48E+09,38.720871,-77.3696518,Public,3.666666667,Quercus,9,9,9,9,9,9,7,7,0,Defoliators,0.5,0.5,0,0.5
2,1173,2-H-1173,1high,72,16.1,3.4,115,9,28,30,99,4.6,6.83,1,1.8,4,13.9,27.5,55.6,5.18,silt loam,34.8,54.5,10.5,6.36E+09,38.71671611,-77.0900186,Private,4.583333333,Quercus,10,7,8,9,8,10,9,9,0.5,N/A,0.5,0.5,0,0.5
3,43,3-H-43,1high,69.5,37,4.1,125,5,58,123,330,4.9,6.71,2.2,5,3,20.5,33,44,4.3,silt loam ,40.8,50.5,8.5,7.43E+10,38.7629852,-77.4092102,Public,4.09375,Liriodendron,9,8,7,9,9,8,9,9,0,Defoliators,0.5,0.5,0,0.5
4,10,4-H-10,1high,73.5,28.4,6.6,150,8,38,37,91,4.4,6.79,1.4,2.3,4.2,13.4,19.8,60.9,4.61,loam,48.8,38.5,12.5,4.45E+10,38.6689911,-77.1669159,Public,3.631578947,Quercus,9,9,9,9,9,9,9,9,0,N/A,0.5,0.5,0,0.5
5,58,5-H-58,1high,71.5,36.5,6.1,150,9,85,90,311,5.4,6.83,1,3.5,6.2,21.4,44.4,28.6,6.21,sandy loam,62.8,34.5,2.5,2.65E+11,38.7785187,-77.416069,Public,3.555555556,Liriodendron,9,9,8,9,9,8,9,9,0,"Defoliators, Canker worm/ Gypsy moth?",0.5,0.5,0,0.5
6,31,6-H-31,1high,69.5,33.2,2.8,103,6,59,44,155,4.8,6.82,1.1,2.4,6.3,15.3,32.3,45.8,1.68,sandy loam,60.8,34.5,4.5,6.33E+10,38.727253,-77.3323593,Public,3.64516129,Quercus,10,10,9,8,7,10,8,6,0,"Defoliators, Disease/Cankers, Borers",0.5,0.5,0,0.5
7,15,7-H-15,1high,71,24.2,3.8,119,20,61,68,320,4.6,6.65,2.8,5.1,3.1,11.1,31.4,54.9,2.98,sandy loam,68.8,26.5,4.5,3.64E+10,38.6768341,-77.1703491,Public,3,Quercus,9,9,8,9,9,9,9,7,0.5,N/A,0.5,0.5,0,0.5
8,183,8-H-183,1high,74,31.3,6,150,8.25,61,55,259,5.1,6.82,1.1,3,5.2,15.3,43.2,36.7,4.92,silt loam,35,55,10,5.30E+10,38.972065,-77.2295609,Private,4.2,Liriodendron,9,9,9,9,9,9,9,9,0.5,N/A,0.5,0.5,0,0.5
9,164,9-H-164,1high,71.5,33.3,4.1,128,6,59,61,217,4.9,6.79,1.4,3.1,4.9,16.4,35,45.2,11.5,loam,40.8,46.5,12.5,8.95E+10,38.9400749,-77.4093857,Public,4.117647059,Quercus,9,9,9,8,8,8,9,10,0,Borers,0.5,0.5,0,0.5
10,98,10-H-98,1high,70.5,22.5,2.4,115,5,33,37,19,4.7,6.83,1,2,4.2,15.4,29.8,50,1.07,sandy loam,54.8,36.5,8.5,5.95E+10,38.8243599,-77.3537979,Public,3.617647059,Quercus,10,9,6,9,9,8.5,9,8,0.5,N/A,0.5,0.5,0,0.5
